sku,name,url
CDSRNKN00009,Nikon D7000 Body Only Digital SLR Cameras,http://www.eglobaldigitalcameras.com.au/nikon-d7000-body-only-digital-slr-cameras.html
CMOBMOT00016,Motorola Moto G 16GB Dual Sim (UNLOCKED) Mobile Phones,http://www.eglobaldigitalcameras.com.au/motorola-moto-g-16gb-dual-sim-unlocked-mobile-phones.html
CWATCAS00014,Casio G-SHOCK Gravity Defier Watch GW-A1100-1A3 - Black,http://www.eglobaldigitalcameras.com.au/casio-g-shock-gravity-defier-watch-gw-a1100-1a3-black.html
