Code No,Product name,sbn,eglobal,oz cosmetic,brand shopping,hot cosmetic,cosmetic now,topbuy ,yestyle,cosme-de
0058ADP,Adidas EDT Spray - Natural Vitality 50ml (Woman),http://au.strawberrynet.com/perfume/adidas/natural-vitality-eau-de-toilette/100771/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml+1+7oz+Femal,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=32149,http://www.ozcosmetics.com/ladies-fragrance/adidas/100771?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml+1+7oz,http://www.brandshopping.com.au/product/adidas-natural-vitality-50ml-edt-spray-perfume-fragrance-for-women-?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+50ml+EDT+Spray+Perfume+Fragrance+for+Wom,http://www.hotcosmetics.com.au/adidas-adidas-natural-vitality-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-natural-vitality-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml,/,/,/
32000AD,Adidas EDT Spray - Pure Game 50ml (Man),/,/,/,/,/,/,/,/,/
0052ADP,Adidas EDT Spray - Pure Lightness 50ml (W),http://au.strawberrynet.com/perfume/adidas/pure-lightness-eau-de-toilette/100772/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml+1+7oz+Female,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=31512,http://www.ozcosmetics.com/ladies-fragrance/adidas/100772?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml+1+7oz,http://www.brandshopping.com.au/product/adidas-pure-lightness-50ml-edt-perfume-fragrance-for-women?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+50ml+EDT+Spray+Perfume+Fragrance+for+Women,http://www.hotcosmetics.com.au/adidas-adidas-pure-lightness-eau-de-toilette-spray-50-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-pure-lightness-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml,/,http://www.yesstyle.com.au/en/adidas-pure-lightness-eua-de-toilette-spray-pure-lightness-eua-de/info.html/pid.1022257748,
0052AD,Adidas EDT Spray - Pure Lightness 50ml (Woman),http://au.strawberrynet.com/perfume/adidas/pure-lightness-eau-de-toilette/100772/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml+1+7oz+Female,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=31512,http://www.ozcosmetics.com/ladies-fragrance/adidas/100772?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml+1+7oz,http://www.brandshopping.com.au/product/adidas-pure-lightness-50ml-edt-perfume-fragrance-for-women?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+50ml+EDT+Spray+Perfume+Fragrance+for+Women,http://www.hotcosmetics.com.au/adidas-adidas-pure-lightness-eau-de-toilette-spray-50-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-pure-lightness-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Pure+Lightness+Eau+De+Toilette+Spray+50ml,/,http://www.yesstyle.com.au/en/adidas-pure-lightness-eua-de-toilette-spray-pure-lightness-eua-de/info.html/pid.1022257748,
0045ADP,Adidas EDT Spray - Team Force 100ml (Man),http://au.strawberrynet.com/cologne/adidas/team-force-eau-de-toilette-spray/49849/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Team+Force+Eau+De+Toilette+Spray+100ml+3+4oz+Male,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=22050,http://www.ozcosmetics.com/mens-fragrance/adidas/49849?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Team+Force+Eau+De+Toilette+Spray+100ml+3+4oz,http://www.brandshopping.com.au/product/adidas-team-force-100ml-edt-cologne-perfume-fragrance-for-men?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Team+Force+100ml+EDT+Spray+Cologne+Perfume+Fragrance+for,http://www.hotcosmetics.com.au/?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Team+Force+Eau+De+Toilette+Spray+100+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-team-force-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Team+Force+Eau+De+Toilette+Spray+100ml,/,http://www.yesstyle.com.au/en/adidas-team-force-eau-de-toilette-spray-100ml-3-4oz/info.html/pid.1011032542,
0031AD,Adidas EDT Spray - Team Force 50ml (Man),/,/,/,/,/,/,/,http://www.yesstyle.com.au/en/adidas-team-force-eau-de-toilette-spray-50ml-1-7oz/info.html/pid.1024237102,
0032AD,Adidas EDT Spray - Victory League 50ml (Man),/,/,/,/,/,/,/,http://www.yesstyle.com.au/en/adidas-victory-league-eau-de-toilette-spray-50ml-1-7oz/info.html/pid.1024237103,
0032ADP,Adidas EDT Spray - Victory League 50ml (Man),/,/,/,/,/,/,/,/,/
901000,Adidas Fresh Hydrating Shower Gel 250ml (Women),/,/,/,/,/,/,/,/,/
923000,Adidas Happy Hydrating Shower Gel 250ml (Women),/,/,/,/,/,/,/,/,/
923000P,Adidas Happy Hydrating Shower Gel 250ml (Women),/,/,/,/,/,/,/,/,/
920000,Adidas Hydrating Shower Gel 250ml (Women) Vitality,/,/,/,/,/,/,/,/,/
812000,Adidas Ice Dive Eau De Toilette Spray 50ml (New Packaging),/,/,/,/,/,/,/,/,/
812000P,Adidas Ice Dive Eau De Toilette Spray 50ml (New Packaging),/,/,/,/,/,/,/,/,/
907000,Adidas Protect Hydrating Shower Milk 250ml (Women),/,/,/,/,/,/,/,/,/
907000P,Adidas Protect Hydrating Shower Milk 250ml (Women),/,/,/,/,/,/,/,/,/
931000,Adidas Relax Hydrating Shower Gel 250ml (Women),/,/,/,/,/,/,/,/,/
0112AD,Adidas Shower Gel - Pure Game 250ml (Men),/,/,/,/,/,/,/,/,/
0057AD,Adidas Shower Gel -Fresh Impact 250ml (Men),/,/,/,/,/,/,/,/,/
0129AD,Adidas Shower Gel 250ml - Victory League,/,/,/,/,/,/,/,/,/
0067AD,Adidas Shower Gel 250ml Deep Energy (Man),/,/,/,/,/,/,/,/,/
0065AD,Adidas Shower Gel 250ml Dynamic Pulse (Man),/,/,/,/,/,/,/,/,/
0068ADP,Adidas Shower Gel 250ml Ice Dive (Man),/,/,/,/,/,/,/,/,/
27000AD,Adidas Shower Gel Intense Touch 250ml (Men),/,/,/,/,/,/,/,/,/
939000,Adidas Smooth Hydrating Shower Milk 250ml (Women),/,/,/,/,/,/,/,/,/
0190AS,Anna Sui Anna Sui Mini Eau De Perfume Set for Woman 1set,/,/,/,/,/,/,/,/,/
0098AS,Anna Sui Flight Of Fancy Eau De Toilette Spray 50ml,http://au.strawberrynet.com/perfume/anna-sui/flight-of-fancy-eau-de-toilette/73513/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Flight+Of+Fancy+Eau+De+Toilette+Spray+50ml+1+7oz+Fema,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=31029,http://www.ozcosmetics.com/ladies-fragrance/anna-sui/73513?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Flight+Of+Fancy+Eau+De+Toilette+Spray+50ml+1+7oz,/,/,http://www.cosmeticsnow.com.au/iteminfo/anna-sui-flight-of-fancy-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Flight+Of+Fancy+Eau+De+Toilette+Spray+50ml,http://www.topbuy.com.au/tbcart/pc/FLIGHT-OF-FANCY-50ml-EDT-SP-by-ANNA-SUI-Women-Perfume-p165883.htm?0=0&utm_source=TopBuy_MyShoppingComAu&dismode=1&utm_content=&utm_medium=cpc&utm_campaign=TBDF-XX53161,http://www.yesstyle.com.au/en/anna-sui-flight-of-fancy-eau-de-toilette-spray-50ml-1-7oz/info.html/pid.1005053513,
00155AS,Anna Sui La Vie De Boheme Eau De Toilette Spray 30ml,/,/,/,/,/,/,/,/,/
0185ASP,Anna Sui Secret Wish Eau De Toilette Spray 30ml,http://au.strawberrynet.com/perfume/anna-sui/secret-wish-eau-de-toilette-spray/42294/#DETAIL,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=319,http://www.ozcosmetics.com/ladies-fragrance/anna-sui/42294?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Secret+Wish+Eau+De+Toilette+Spray+30ml+1oz,http://www.brandshopping.com.au/product/secret-wish-by-anna-sui-30ml-edt-spray-perfume-fragrance-for-women?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Secret+Wish+by+Anna+Sui+30ml+EDT+Spray+Perfume+Fragrance+for+Wom,/,http://www.cosmeticsnow.com.au/iteminfo/anna-sui-secret-wish-eau-de-toilette-spray-30ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Secret+Wish+Eau+De+Toilette+Spray+30ml,/,http://www.yesstyle.com.au/en/anna-sui-secret-wish-eau-de-toilette-spray-30ml-1oz/info.html/pid.1004531233,
0074ASP,Anna Sui Secret Wish Eau De Toilette Spray 50ml,http://au.strawberrynet.com/perfume/anna-sui/secret-wish-fairy-dance-eau-de/142989/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Secret+Wish+Fairy+Dance+Eau+De+Toilette+Spray+50ml+1+6o,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=318,http://www.ozcosmetics.com/ladies-fragrance/anna-sui/142989?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Secret+Wish+Fairy+Dance+Eau+De+Toilette+Spray+50ml+1+6o,/,/,http://au.strawberrynet.com/perfume/anna-sui/secret-wish-fairy-dance-eau-de/142989/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Anna+Sui+Secret+Wish+Fairy+Dance+Eau+De+Toilette+Spray+50ml+1+6o,/,/,
00013AV,Avene Cold Cream Creme (Very Dry Sensitive Skin) 100ml,/,/,/,/,/,/,/,/,/
00064AV,Avene Cold Creme Emulsion Corporelle Body Lotion with Cold Cream 400ml,http://au.strawberrynet.com/skincare/avene/cold-cream-body-lotion/124016/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Skin+Care&utm_term=Avene+Cold+Cream+Body+Lotion+400ml+13+52oz,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=39401,http://www.ozcosmetics.com/skincare/avene/124016?utm_source=myshopping&utm_medium=cpc&utm_campaign=Skin+Care&utm_term=Avene+Cold+Cream+Body+Lotion+400ml+13+52oz,http://www.brandshopping.com.au/product/avene-cold-cream-body-lotion-400ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Skin+Care&utm_term=AVENE+Cold+Cream+Body+Lotion+400ml,/,http://www.cosmeticsnow.com.au/iteminfo/avene-cold-cream-body-lotion-400ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Skin+Care&utm_term=Avene+Cold+Cream+Body+Lotion+400ml,/,/,/
00057AV,Avene Lait Corporel Hydratant Moisturizing Body Lotion 400ml,/,/,/,/,/,/,/,/,/
00036AV,Avene Thermal Spring Water 300ml,/,/,/,/,/,/,/,/,http://www.cosme-de.com/en/product/product_page.html?pdid=2093
00018AV,Avene Thermal Spring Water 50ml,/,/,/,/,/,/,/,/,/
0001BN,Beyonce Heat Eau De Parfum Spray 100ml/3.4oz,http://au.strawberrynet.com/perfume/beyonce/heat-eau-de-parfum-spray/113219/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Beyonce+Heat+Eau+De+Parfum+Spray+100ml+3+4oz+Female,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=31047,http://www.ozcosmetics.com/ladies-fragrance/beyonce/113219?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Beyonce+Heat+Eau+De+Parfum+Spray+100ml+3+4oz,/,http://www.hotcosmetics.com.au/Beyonce-Beyonce-Heat-Eau-De-Parfum-Spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Beyonce+Beyonce+Heat+Eau+De+Parfum+Spray+100ml,http://www.cosmeticsnow.com.au/iteminfo/beyonce-heat-eau-de-parfum-spray-50ml,/,http://www.yesstyle.com.au/en/info.html/pid.1031464228,/
