Code No,Product name,sbn,eglobal,oz cosmetic,brand shopping,hot cosmetic,cosmetic now,topbuy ,yestyle,cosme-de
0130AD,Adidas Action 3 Dry Max System 48 Anti-Perspirant Deodorant-Fresh 150ml (MEN),/,/,/,/,/,/,/,/,/
5000AD,Adidas Action 3 Dry Max System Anti Perspirant Deodorant Spray - Control 150ml (WOMEN),/,/,/,/,/,/,/,/,/
0088AD,Adidas After Shave Lotion Splash 100ml Deep Energy,/,/,/,/,/,http://www.cosmeticsnow.com.au/iteminfo/adidas-deep-energy-after-shave-splash-100ml,/,http://www.yesstyle.com.au/en/adidas-deep-energy-after-shave-splash-100ml-3-4oz/info.html/pid.1033988690,/
8000AD,Adidas After Shave Lotion Splash 100ml Dynamic Pulse,/,/,http://www.ozcosmetics.com/mens-fragrance/adidas/115147?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Dynamic+Pulse+After+Shave+Splash+100ml+3+3oz,http://www.brandshopping.com.au/product/adidas-dynamic-pulse-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=ADIDAS+Dynamic+Pulse+After+Shave+Splash+100ml,/,http://www.cosmeticsnow.com.au/iteminfo/adidas-dynamic-pulse-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Dynamic+Pulse+After+Shave+Splash+100ml,/,http://www.yesstyle.com.au/en/adidas-dynamic-pulse-after-shave-splash-100ml-3-3oz/info.html/pid.1024237104,
594000,Adidas After Shave Lotion Splash 100ml Intense Touch,/,/,/,/,/,http://www.cosmeticsnow.com.au/iteminfo/adidas-intense-touch-after-shave-lotion-100ml,/,http://www.yesstyle.com.au/en/adidas-intense-touch-after-shave-lotion-100ml-3-3oz/info.html/pid.1033879375,
78000,Adidas After Shave Lotion Splash 100ml Team Force,/,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=34639,http://www.ozcosmetics.com/mens-fragrance/adidas/115150?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Team+Force+After+Shave+Splash+100ml+3+3oz,http://www.brandshopping.com.au/product/adidas-team-force-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=ADIDAS+Team+Force+After+Shave+Splash+100ml,/,http://www.cosmeticsnow.com.au/iteminfo/adidas-team-force-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Team+Force+After+Shave+Splash+100ml,/,http://www.yesstyle.com.au/en/adidas-team-force-after-shave-splash-100ml-3-3oz/info.html/pid.1024237106,
60000,Adidas After Shave Lotion Splash 100ml Victory League,/,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=34683,http://www.ozcosmetics.com/mens-fragrance/adidas/115151?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Victory+League+After+Shave+Splash+100ml+3+3oz,http://www.brandshopping.com.au/product/adidas-victory-league-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=ADIDAS+Victory+League+After+Shave+Splash+100ml,/,http://www.cosmeticsnow.com.au/iteminfo/adidas-victory-league-after-shave-splash-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Hair+Removal+Products&utm_term=Adidas+Victory+League+After+Shave+Splash+100ml,/,http://www.yesstyle.com.au/en/adidas-victory-league-after-shave-splash-100ml-3-3oz/info.html/pid.1024578343,
37000AD,Adidas Deo Body Spray 150ml Intensive Touch (Man),/,/,/,/,/,/,/,/,/
789000,Adidas Dynamic Pulse Eau De Toilette Spray 100ml (Man),http://au.strawberrynet.com/cologne/adidas/dynamic-pulse-eau-de-toilette-spray/49850/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml+3+4oz+Male,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=22236,http://www.ozcosmetics.com/mens-fragrance/adidas/49850?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml+3+4oz,http://www.brandshopping.com.au/product/adidas-dynamic-pulse-100ml-edt-cologne-perfume-fragrance-for-men?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+100ml+EDT+Spray+Cologne+Perfume+Fragrance+f,http://www.hotcosmetics.com.au/adidas-adidas-dynamic-pulse-eau-de-toilette-spray-100-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-dynamic-pulse-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml,/,http://www.yesstyle.com.au/en/adidas-dynamic-pulse-eau-de-toilette-spray-100ml-3-4oz/info.html/pid.1022462644,
789000P,Adidas Dynamic Pulse Eau De Toilette Spray 100ml (Man),http://au.strawberrynet.com/cologne/adidas/dynamic-pulse-eau-de-toilette-spray/49850/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml+3+4oz+Male,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=22236,http://www.ozcosmetics.com/mens-fragrance/adidas/49850?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml+3+4oz,http://www.brandshopping.com.au/product/adidas-dynamic-pulse-100ml-edt-cologne-perfume-fragrance-for-men?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+100ml+EDT+Spray+Cologne+Perfume+Fragrance+f,http://www.hotcosmetics.com.au/adidas-adidas-dynamic-pulse-eau-de-toilette-spray-100-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-dynamic-pulse-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Dynamic+Pulse+Eau+De+Toilette+Spray+100ml,/,http://www.yesstyle.com.au/en/adidas-dynamic-pulse-eau-de-toilette-spray-100ml-3-4oz/info.html/pid.1022462644,
0047ADP,Adidas EDT Spray - Deep Energy 100ml (Man),http://au.strawberrynet.com/cologne/adidas/deep-energy-eau-de-toilette-spray/100768/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Deep+Energy+Eau+De+Toilette+Spray+100ml+3+4oz+Male,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=22086,http://www.ozcosmetics.com/mens-fragrance/adidas/100768?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Deep+Energy+Eau+De+Toilette+Spray+100ml+3+4oz,http://www.brandshopping.com.au/product/adidas-deep-energy-100ml-edt-cologne-perfume-fragrance-for-men?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Deep+Energy+100ml+EDT+Spray+Cologne+Perfume+Fragrance+for,http://www.hotcosmetics.com.au/adidas-adidas-deep-energy-eau-de-toilette-spray-100-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Deep+Energy+Eau+De+Toilette+Spray+100+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-deep-energy-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Deep+Energy+Eau+De+Toilette+Spray+100ml,/,http://www.yesstyle.com.au/en/adidas-deep-energy-eau-de-toilette-spray-deep-energy-eau-de-toilette/info.html/pid.1022257728,
0033AD,Adidas EDT Spray - Deep Energy 50ml (Man),/,/,/,/,/,/,/,/,/
0033ADP,Adidas EDT Spray - Deep Energy 50ml (Man),/,/,/,/,/,/,/,/,/
0051AD,Adidas EDT Spray - Floral Dream 50ml (Woman),/,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=32270,http://www.ozcosmetics.com/ladies-fragrance/adidas/49856?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Floral+Dream+Eau+De+Toilette+Spray+50ml+1+7oz,http://www.brandshopping.com.au/product/adidas-floral-dream-50ml-edt-perfume-fragrance-for-women?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Floral+Dream+50ml+EDT+Spray+Perfume+Fragrance+for+Women,http://www.hotcosmetics.com.au/Adidas-Adidas-Floral-Dream-Eau-De-Toilette-Spray-50-ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Floral+Dream+Eau+De+Toilette+Spray+50+ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-floral-dream-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Floral+Dream+Eau+De+Toilette+Spray+50ml,/,http://www.yesstyle.com.au/en/adidas-floral-dream-eau-de-toilette-spray-50ml-1-7oz/info.html/pid.1011032798,
0034AD,Adidas EDT Spray - Fresh Impact 50ml (Man),/,/,/,/,/,/,/,/,/
0034ADP,Adidas EDT Spray - Fresh Impact 50ml (Man),/,/,/,/,/,/,/,/,/
16200AD,Adidas EDT Spray - Happy Game 50ml (Woman),/,/,/,http://www.brandshopping.com.au/product/adidas-happy-game-50ml-edt-spray-for-women?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Happy+Game+50ml+EDT+spray+for+Women,http://www.hotcosmetics.com.au/adidas-adidas-happy-game-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Happy+Game+Eau+De+Toilette+Spray+50ml,/,/,/,
0030ADP,Adidas EDT Spray - Ice Dive 50ml (Man),/,/,/,/,/,/,/,/,/
59100AD,Adidas EDT Spray - Intense Touch 100ml (Man),http://au.strawberrynet.com/cologne/adidas/intense-touch-eau-de-toilette-spray/144078/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Intense+Touch+Eau+De+Toilette+Spray+100ml+3+4oz+Male,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=53742,http://www.ozcosmetics.com/mens-fragrance/adidas/144078?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Intense+Touch+Eau+De+Toilette+Spray+100ml+3+4oz,/,http://www.hotcosmetics.com.au/adidas-adidas-intense-touch-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Intense+Touch+Eau+de+Toilette+Spray+100ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-intense-touch-eau-de-toilette-spray-100ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Intense+Touch+Eau+De+Toilette+Spray+100ml,/,/,/
59000AD,Adidas EDT Spray - Intense Touch 50ml (Man),/,/,/,/,/,/,/,/,/
0147AD,Adidas EDT Spray - Natural Vitality 50ml (Woman),http://au.strawberrynet.com/perfume/adidas/natural-vitality-eau-de-toilette/100771/?trackid=7050500001&utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml+1+7oz+Femal,http://www.eglobalbeauty.com.au/Product.aspx?ProductId=32149,http://www.ozcosmetics.com/ladies-fragrance/adidas/100771?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml+1+7oz,http://www.brandshopping.com.au/product/adidas-natural-vitality-50ml-edt-spray-perfume-fragrance-for-women-?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+50ml+EDT+Spray+Perfume+Fragrance+for+Wom,http://www.hotcosmetics.com.au/adidas-adidas-natural-vitality-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml,http://www.cosmeticsnow.com.au/iteminfo/adidas-natural-vitality-eau-de-toilette-spray-50ml?utm_source=myshopping&utm_medium=cpc&utm_campaign=Fragrance+Perfume&utm_term=Adidas+Natural+Vitality+Eau+De+Toilette+Spray+50ml,/,http://www.yesstyle.com.au/en/adidas-natural-vitality-eau-de-toilette-spray-natural-vitality-eau/info.html/pid.1022257747,
